City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
chokurdakh,1.0,RU,1592842867.0,65.0,70.63,147.92,43.02,13.13
saint george,1.0,US,1592842868.0,14.0,37.1,-113.58,87.01,5.82
tumpat,40.0,MY,1592842868.0,94.0,6.2,102.17,77.0,2.24
hobart,90.0,AU,1592842731.0,93.0,-42.88,147.33,55.99,6.93
byron bay,0.0,AU,1592842868.0,66.0,-28.65,153.62,52.0,6.93
avarua,0.0,CK,1592842569.0,69.0,-21.21,-159.78,73.4,13.87
albany,0.0,US,1592842849.0,48.0,42.6,-73.97,88.0,3.42
khatanga,94.0,RU,1592842868.0,50.0,71.97,102.5,66.87,12.33
gizo,86.0,SB,1592842868.0,78.0,-8.1,156.84,82.24,6.91
narsaq,40.0,GL,1592842869.0,28.0,60.92,-46.05,69.8,8.05
rikitea,86.0,PF,1592842869.0,60.0,-23.12,-134.97,69.49,14.99
georgetown,40.0,MY,1592842709.0,100.0,5.41,100.34,80.6,1.12
castro,0.0,BR,1592842869.0,43.0,-24.79,-50.01,73.9,3.02
tuatapere,31.0,NZ,1592842869.0,83.0,-46.13,167.68,39.0,3.0
cayenne,54.0,GF,1592842869.0,59.0,4.93,-52.33,89.6,10.29
tubuala,40.0,PA,1592842869.0,70.0,9.52,-79.03,87.8,2.24
busselton,54.0,AU,1592842869.0,57.0,-33.65,115.33,59.0,26.53
hermanus,5.0,ZA,1592842869.0,88.0,-34.42,19.23,57.0,11.16
krasnoselkup,0.0,RU,1592842870.0,68.0,65.7,82.47,53.91,23.73
reconquista,97.0,AR,1592842870.0,85.0,-29.15,-59.65,71.11,8.25
puerto ayora,40.0,EC,1592842668.0,73.0,-0.74,-90.35,75.2,12.75
mgandu,90.0,TZ,1592842870.0,44.0,-5.95,34.13,71.76,5.1
punta arenas,75.0,CL,1592842870.0,80.0,-53.15,-70.92,41.0,12.75
chuy,96.0,UY,1592842870.0,83.0,-33.7,-53.46,59.7,6.04
mount isa,1.0,AU,1592842870.0,48.0,-20.73,139.5,53.6,8.05
sao jose da coroa grande,2.0,BR,1592842870.0,72.0,-8.9,-35.15,81.19,11.48
gat,0.0,IL,1592842870.0,69.0,31.61,34.76,82.0,10.29
pokhara,40.0,NP,1592842819.0,79.0,28.23,83.98,74.16,1.01
saskylakh,1.0,RU,1592842871.0,53.0,71.92,114.08,70.21,7.18
marzuq,37.0,YE,1592842871.0,30.0,14.4,46.47,89.01,9.73
hilo,1.0,US,1592842682.0,77.0,19.73,-155.09,69.8,4.7
mar del plata,53.0,AR,1592842596.0,81.0,-38.0,-57.56,52.0,13.87
tasiilaq,40.0,GL,1592842871.0,43.0,65.61,-37.64,55.4,2.24
tanga,74.0,TZ,1592842871.0,79.0,-5.07,39.1,77.99,11.05
new norfolk,100.0,AU,1592842871.0,92.0,-42.78,147.06,55.99,1.99
bathsheba,40.0,BB,1592842630.0,70.0,13.22,-59.52,87.8,20.8
barrow,90.0,US,1592842872.0,93.0,71.29,-156.79,35.6,17.22
ilulissat,40.0,GL,1592842872.0,61.0,69.22,-51.1,48.2,5.82
urbano santos,58.0,BR,1592842872.0,52.0,-3.21,-43.4,87.67,5.95
la plaine,20.0,DM,1592842872.0,52.0,15.33,-61.25,91.4,9.17
ugoofaaru,100.0,MV,1592842872.0,78.0,5.67,73.0,83.98,12.46
nuuk,40.0,GL,1592842872.0,66.0,64.18,-51.72,50.0,8.05
kamenka,40.0,RU,1592842622.0,74.0,51.32,42.77,64.69,5.32
haines junction,90.0,CA,1592842671.0,54.0,60.75,-137.51,47.86,5.84
warmbad,0.0,NA,1592842873.0,26.0,-28.45,18.73,65.35,5.5
dingle,42.0,PH,1592842645.0,85.0,11.0,122.67,79.02,3.36
bredasdorp,1.0,ZA,1592842873.0,87.0,-34.53,20.04,57.2,2.1
jamestown,1.0,US,1592842594.0,65.0,42.1,-79.24,78.8,4.7
